artifact_set,artifact_type,artifact_main,n_need
Gilded Dreams,Feather,ATK,9
Tenacity of the Milileth,Flower,HP,9
Tenacity of the Milileth,Goblet,HP,9
Gilded Dreams,Flower,HP,8
Gilded Dreams,Sands,EM,8
Crimson Witch of Flames,Goblet,PyroDMG,7
Deepwood Memories,Feather,ATK,7
Tenacity of the Milileth,Circlet,HP,7
Crimson Witch of Flames,Feather,ATK,6
Deepwood Memories,Flower,HP,6
Gilded Dreams,Goblet,EM,6
Blizzard Strayer,Circlet,CritDMG,5
Crimson Witch of Flames,Circlet,CritDMG,5
Crimson Witch of Flames,Flower,HP,5
Emblem of Severed Fate,Flower,HP,5
Gilded Dreams,Circlet,EM,5
Maiden Beloved,Circlet,HealingBonus,5
Ocean-Hued Clam,Feather,ATK,5
Scroll of the Hero of Cinder City,Feather,ATK,5
Tenacity of the Milileth,Feather,ATK,5
Viridescent Venerer,Feather,ATK,5
Viridescent Venerer,Flower,HP,5
A Day Carved From Rising Winds,Feather,ATK,4
A Day Carved From Rising Winds,Flower,HP,4
Blizzard Strayer,Feather,ATK,4
Blizzard Strayer,Flower,HP,4
Emblem of Severed Fate,Feather,ATK,4
Emblem of Severed Fate,Sands,ER,4
Maiden Beloved,Flower,HP,4
Noblesse Oblige,Feather,ATK,4
Ocean-Hued Clam,Circlet,HealingBonus,4
Ocean-Hued Clam,Flower,HP,4
Ocean-Hued Clam,Goblet,HP,4
Scroll of the Hero of Cinder City,Flower,HP,4
A Day Carved From Rising Winds,Sands,ER,3
Blizzard Strayer,Sands,ATK,3
Crimson Witch of Flames,Sands,EM,3
Deepwood Memories,Goblet,EM,3
Deepwood Memories,Goblet,HP,3
Deepwood Memories,Sands,EM,3
Emblem of Severed Fate,Circlet,CritRate,3
Flower of Paradise Lost,Feather,ATK,3
Flower of Paradise Lost,Flower,HP,3
Flower of Paradise Lost,Sands,EM,3
Gilded Dreams,Circlet,CritDMG,3
Husk of Oppulent Dreams,Circlet,DEF,3
Husk of Oppulent Dreams,Goblet,DEF,3
Marechaussee Hunter,Circlet,CritDMG,3
Noblesse Oblige,Flower,HP,3
Noblesse Oblige,Sands,ER,3
Pale Flame,Feather,ATK,3
Pale Flame,Flower,HP,3
Scroll of the Hero of Cinder City,Sands,ER,3
Tenacity of the Milileth,Feather,HP,3
Tenacity of the Milileth,Sands,ATK,3
Thundering Fury,Feather,ATK,3
Vermillion Hereafter,Feather,ATK,3
Vermillion Hereafter,Flower,HP,3
Viridescent Venerer,Goblet,ATK,3
Viridescent Venerer,Goblet,EM,3
Viridescent Venerer,Sands,ER,3
Vourukasha's Glow,Feather,HP,3
Vourukasha's Glow,Goblet,ATK,3
Vourukasha's Glow,Sands,HP,3
Wanderer's Troupe,Circlet,CritDMG,3
Wanderer's Troupe,Feather,ATK,3
A Day Carved From Rising Winds,Circlet,CritRate,2
Archaic Petra,Feather,ATK,2
Aubade of Morningstar and Moon,Circlet,HP,2
Aubade of Morningstar and Moon,Goblet,HP,2
Blizzard Strayer,Goblet,CryoDMG,2
Bloodstained Chivalry,Circlet,CritDMG,2
Bloodstained Chivalry,Goblet,ATK,2
Crimson Witch of Flames,Sands,ATK,2
Deepwood Memories,Circlet,EM,2
Emblem of Severed Fate,Circlet,ER,2
Emblem of Severed Fate,Goblet,ElectroDMG,2
Flower of Paradise Lost,Circlet,EM,2
Flower of Paradise Lost,Goblet,EM,2
Fragment of Harmonic Whimsy,Circlet,CritDMG,2
Gilded Dreams,Circlet,CritRate,2
Golden Troupe,Circlet,CritRate,2
Golden Troupe,Flower,HP,2
Husk of Oppulent Dreams,Flower,HP,2
Husk of Oppulent Dreams,Sands,DEF,2
Husk of Opulent Dreams,Feather,ATK,2
